endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_HLM,chemeleon,0,0,929,0.5063561251880411,0.7078010660078098,0.3292128376329387
LOG_HLM,chemeleon,0,1,929,0.46409729899389773,0.6844244649213412,0.3417238418073197
LOG_HLM,chemeleon,0,2,929,0.46036695517102666,0.6815738830633955,0.34072063496340144
LOG_HLM,chemeleon,0,3,929,0.48726491365892344,0.7033134961279928,0.32881910558127014
LOG_HLM,chemeleon,0,4,929,0.44402605998620925,0.6706578101453007,0.3498317578073196
LOG_HLM,chemeleon,1,0,929,0.45921475823112157,0.6811927880546349,0.3450121702292788
LOG_HLM,chemeleon,1,1,929,0.4791919184638631,0.689086926067332,0.3369395545500538
LOG_HLM,chemeleon,1,2,929,0.4863576477356033,0.7022845730124131,0.33059337656512383
LOG_HLM,chemeleon,1,3,929,0.47029536677885375,0.6900531634881331,0.33689446937244344
LOG_HLM,chemeleon,1,4,929,0.4634552713849379,0.6919337343314909,0.33758233930570514
LOG_HLM,chemeleon,2,0,929,0.42669258535983057,0.6608614619687373,0.35273609769321856
LOG_HLM,chemeleon,2,1,929,0.49132041389103354,0.7026979523688236,0.3326705440053822
LOG_HLM,chemeleon,2,2,929,0.4806172721569181,0.6953889871391432,0.3293068475812702
LOG_HLM,chemeleon,2,3,929,0.46266043874690466,0.6810064393377078,0.3406781284424112
LOG_HLM,chemeleon,2,4,929,0.4742890822698951,0.6992124045124591,0.33522660651130254
LOG_HLM,chemeleon,3,0,929,0.45520957581109667,0.6805267677331005,0.3418329797082885
LOG_HLM,chemeleon,3,1,929,0.500946573751224,0.712162740598731,0.32857336221420885
LOG_HLM,chemeleon,3,2,929,0.4873910462614459,0.7020508152017119,0.33210165360925725
LOG_HLM,chemeleon,3,3,929,0.4746874033687102,0.6928600718823716,0.34049776223789013
LOG_HLM,chemeleon,3,4,929,0.4882970854254015,0.6943515449647527,0.3307210917621098
LOG_HLM,chemeleon,4,0,929,0.4841721593892798,0.6991861563963194,0.33068865653067814
LOG_HLM,chemeleon,4,1,929,0.44976496432340296,0.6754597499992715,0.3513590153530678
LOG_HLM,chemeleon,4,2,929,0.4769545998161422,0.6947376359990903,0.33742785747147475
LOG_HLM,chemeleon,4,3,929,0.4995011373987519,0.7018600930642187,0.32929731271151774
LOG_HLM,chemeleon,4,4,929,0.4706642952146801,0.6894533822655871,0.3384520459967707
